list-card-addr,list-card-price,list-card-details,list-card-label,list-card-details 2,list-card-label 2,list-card-details 3,list-card-label 3,list-card-link href 2
"13615 Fraser Hwy #2304, Surrey, BC V3T 2V6","C$689,999",2,bds,2,ba,806,sqft,https://www.zillow.com/homedetails/13615-Fraser-Hwy-2304-Surrey-BC-V3T-2V6/2067958447_zpid/
"15341 17th Ave #213, Surrey, BC V4A 1T8","C$699,900",2,bds,2,ba,935,sqft,https://www.zillow.com/homedetails/15341-17th-Ave-213-Surrey-BC-V4A-1T8/2067944214_zpid/
,,,,,,,,
"13655 Fraser Hwy #403, Surrey, BC V3T 2V6","C$674,000",2,bds,2,ba,809,sqft,https://www.zillow.com/homedetails/13655-Fraser-Hwy-403-Surrey-BC-V3T-2V6/2068510478_zpid/
"13318 104th Ave #2502, Surrey, BC V3T 1V4","C$689,900",2,bds,2,ba,821,sqft,https://www.zillow.com/homedetails/13318-104th-Ave-2502-Surrey-BC-V3T-1V4/2075650936_zpid/
"10581 140th St #107, Surrey, BC V3T 0M7","C$658,000",2,bds,2,ba,"1,152",sqft,https://www.zillow.com/homedetails/10581-140th-St-107-Surrey-BC-V3T-0M7/2070558461_zpid/
"13655 Fraser Hwy #610, Surrey, BC V3T 2V6","C$620,000",2,bds,2,ba,809,sqft,https://www.zillow.com/homedetails/13655-Fraser-Hwy-610-Surrey-BC-V3T-2V6/2068730956_zpid/
"13364 102nd Ave #106, Surrey, BC V3T 5L8","C$414,900",2,bds,1,ba,855,sqft,https://www.zillow.com/homedetails/13364-102nd-Ave-106-Surrey-BC-V3T-5L8/2071486535_zpid/
"1705 Martin Dr #407, Surrey, BC V4A 9T5","C$699,900",2,bds,2,ba,"1,152",sqft,https://www.zillow.com/homedetails/1705-Martin-Dr-407-Surrey-BC-V4A-9T5/2067987312_zpid/
"9983 Barnston Dr E #208, Surrey, BC V4N 6T3","C$568,900",2,bds,2,ba,863,sqft,https://www.zillow.com/homedetails/9983-Barnston-Dr-E-208-Surrey-BC-V4N-6T3/2069521056_zpid/
"13308 Central Ave #2403, Surrey, BC V3T 0M4","C$579,900",2,bds,2,ba,820,sqft,https://www.zillow.com/homedetails/13308-Central-Ave-2403-Surrey-BC-V3T-0M4/2072540649_zpid/
"13615 Fraser Hwy #3409, Surrey, BC V3T 2V6","C$699,000",2,bds,2,ba,850,sqft,https://www.zillow.com/homedetails/13615-Fraser-Hwy-3409-Surrey-BC-V3T-2V6/2067971612_zpid/
